"872,535,9",-,-,-,-,-,-,-,-,-,-,-
"348,161,2",-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-
"534,373,7",-,-,-,-,-,-,-,-,-,-,-
"872,535,9","760,92","549,215","336,760,91","714,788","052,575","855,637,6","078,808,72",")766,525,1(",")400,491(",")359,503,1(",")426,520,3("
-,-,-,-,-,-,-,-,")766,525,1(",")400,491(",")359,503,1(",")426,520,3("
"048,355,1",-,-,-,-,-,-,-,-,-,-,-
-,"760,92","549,215",-,-,"052,575","855,637,6","028,358,7",-,-,-,-
-,-,-,"336,760,91","714,788",-,-,"050,559,91",-,-,-,-
"834,189,7",-,-,-,-,-,-,-,-,-,-,-
